"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2021-04-23T00:00:00.000Z,"193","16",20,8,0
2021-04-24T00:00:00.000Z,"202","16",20,8,0
2021-04-25T00:00:00.000Z,"197","16",20,8,0
2021-04-26T00:00:00.000Z,"195","16",20,8,0
2021-04-27T00:00:00.000Z,"181","16",20,8,0
2021-04-28T00:00:00.000Z,"183","16",20,8,0
2021-04-29T00:00:00.000Z,"199","16",20,8,0
2021-04-30T00:00:00.000Z,"182","16",20,8,0
2021-05-01T00:00:00.000Z,"188","16",20,8,0
2021-05-02T00:00:00.000Z,"186","16",20,8,0
2021-05-03T00:00:00.000Z,"176","16",20,8,0
2021-05-04T00:00:00.000Z,"188","16",20,8,0
2021-05-05T00:00:00.000Z,"174","16",20,8,0
2021-05-06T00:00:00.000Z,"188","16",20,8,0
2021-05-07T00:00:00.000Z,"218","16",20,8,0
2021-05-08T00:00:00.000Z,"229","16",20,8,0
2021-05-09T00:00:00.000Z,"224","16",20,8,0
2021-05-10T00:00:00.000Z,"223","16",20,8,0
2021-05-11T00:00:00.000Z,"215","16",20,8,0
2021-05-12T00:00:00.000Z,"215","16",20,8,0
2021-05-13T00:00:00.000Z,"224","16",20,8,0
2021-05-14T00:00:00.000Z,"230","16",20,8,0
2021-05-15T00:00:00.000Z,"229","16",20,8,0
2021-05-16T00:00:00.000Z,"240","16",20,8,0
2021-05-17T00:00:00.000Z,"259","16",20,8,0
2021-05-18T00:00:00.000Z,"264","16",20,8,0
2021-05-19T00:00:00.000Z,"271","16",20,8,0
2021-05-20T00:00:00.000Z,"277","16",20,8,0
2021-05-21T00:00:00.000Z,"304","16",20,8,0
2021-05-22T00:00:00.000Z,"307","16",20,8,0
2021-05-23T00:00:00.000Z,"297","16",20,8,0
2021-05-24T00:00:00.000Z,"292","16",20,8,0
2021-05-25T00:00:00.000Z,"282","16",20,8,0
2021-05-26T00:00:00.000Z,"294","16",20,8,0
2021-05-27T00:00:00.000Z,"274","16",20,8,0
2021-05-28T00:00:00.000Z,"275","16",20,8,0
2021-05-29T00:00:00.000Z,"275","16",20,8,0
2021-05-30T00:00:00.000Z,"259","16",20,8,0
2021-05-31T00:00:00.000Z,"242","16",20,8,0
2021-06-01T00:00:00.000Z,"232","16",20,8,0
2021-06-02T00:00:00.000Z,"215","16",20,8,0
2021-06-03T00:00:00.000Z,"237","16",20,8,0
2021-06-04T00:00:00.000Z,"278","16",20,8,0
2021-06-05T00:00:00.000Z,"249","16",20,8,0
2021-06-06T00:00:00.000Z,"304","16",20,8,0
2021-06-07T00:00:00.000Z,"302","16",20,8,0
2021-06-08T00:00:00.000Z,"303","16",20,8,0
2021-06-09T00:00:00.000Z,"271","16",20,8,0
2021-06-10T00:00:00.000Z,"274","16",20,8,0
2021-06-11T00:00:00.000Z,"253","16",20,8,0
2021-06-12T00:00:00.000Z,"228","16",20,8,0
2021-06-13T00:00:00.000Z,"226","16",20,8,0
2021-06-14T00:00:00.000Z,"212","16",20,8,0
