latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.822495,2.2881355,43.0,7200,Europe/Berlin,GMT+2

time,precipitation_sum (mm),temperature_2m_mean (°C),et0_fao_evapotranspiration (mm)
2024-12-05,3.40,7.5,0.33
2024-12-06,2.30,9.2,0.94
2024-12-07,7.80,8.8,0.87
2024-12-08,5.60,7.2,0.55
2024-12-09,1.30,5.5,0.50
2024-12-10,0.20,5.2,0.41
2024-12-11,0.00,4.9,0.38
2024-12-12,0.00,3.9,0.30
2024-12-13,0.00,2.0,0.28
2024-12-14,0.10,1.9,0.28
2024-12-15,0.00,6.0,0.32
2024-12-16,0.00,9.2,0.36
2024-12-17,0.00,7.0,0.29
2024-12-18,1.40,10.2,0.58
2024-12-19,4.50,9.0,0.79
2024-12-20,0.10,4.9,0.57
2024-12-21,4.80,8.4,0.37
2024-12-22,18.70,6.7,0.65
2024-12-23,0.10,5.9,1.01
2024-12-24,1.10,6.8,0.23
2024-12-25,0.00,9.4,0.24
2024-12-26,0.00,7.0,0.39
2024-12-27,0.00,2.0,0.41
2024-12-28,0.00,0.5,0.18
2024-12-29,0.00,2.5,0.23
2024-12-30,0.10,3.1,0.25
2024-12-31,0.00,3.6,0.34
2025-01-01,0.00,6.1,0.49
2025-01-02,22.70,4.4,0.25
2025-01-03,0.00,0.4,0.44
2025-01-04,5.20,-0.7,0.46
2025-01-05,14.10,9.4,0.60
2025-01-06,1.60,9.7,1.18
2025-01-07,4.00,5.0,0.88
2025-01-08,15.90,6.0,0.25
2025-01-09,5.40,6.3,0.48
2025-01-10,0.40,3.4,0.38
2025-01-11,0.00,0.9,0.31
2025-01-12,0.00,1.5,0.30
2025-01-13,0.00,0.5,0.52
2025-01-14,0.00,-1.4,0.47
2025-01-15,0.20,2.2,0.22
2025-01-16,0.00,3.4,0.36
2025-01-17,0.00,0.8,0.33
2025-01-18,0.00,0.5,0.27
2025-01-19,0.10,-0.3,0.26
2025-01-20,0.10,-0.5,0.29
2025-01-21,0.00,0.2,0.42
2025-01-22,13.80,4.8,0.28
2025-01-23,3.10,6.1,0.64
2025-01-24,4.70,9.3,0.92
2025-01-25,11.20,9.8,0.56
2025-01-26,3.20,5.0,0.62
2025-01-27,3.60,9.7,1.23
2025-01-28,4.50,7.9,0.93
2025-01-29,9.70,7.2,0.47
2025-01-30,3.70,6.1,0.49
2025-01-31,4.80,2.3,0.29
2025-02-01,0.00,2.2,0.76
2025-02-02,0.00,1.2,0.74
2025-02-03,0.00,1.3,0.46
2025-02-04,0.00,1.3,0.43
2025-02-05,0.00,4.5,0.47
2025-02-06,0.20,3.3,0.49
2025-02-07,0.90,3.9,0.67
2025-02-08,2.20,5.7,0.75
2025-02-09,5.40,4.7,0.54
2025-02-10,8.50,4.2,0.33
2025-02-11,0.00,4.1,0.57
2025-02-12,0.40,3.3,0.41
2025-02-13,0.10,4.5,0.82
2025-02-14,0.00,1.6,0.97
2025-02-15,0.00,0.6,0.82
2025-02-16,0.00,1.7,1.00
2025-02-17,0.00,1.8,1.03
2025-02-18,0.00,2.8,1.19
2025-02-19,0.00,4.9,0.88
2025-02-20,1.50,9.6,0.62
2025-02-21,0.10,12.0,1.14
2025-02-22,6.00,10.7,0.89
2025-02-23,0.00,8.9,1.59
2025-02-24,3.10,10.3,0.85
2025-02-25,18.30,8.0,0.34
2025-02-26,2.60,7.0,1.21
2025-02-27,0.40,6.0,1.27
2025-02-28,0.50,5.0,1.08
2025-03-01,0.00,3.7,1.01
2025-03-02,0.00,4.5,1.53
2025-03-03,0.00,4.7,1.59
2025-03-04,0.00,5.7,1.40
2025-03-05,0.00,7.6,1.84
2025-03-06,0.00,9.2,2.09
2025-03-07,0.00,10.6,2.11
2025-03-08,0.00,11.6,2.38
2025-03-09,0.00,12.1,1.86
2025-03-10,3.30,10.6,0.89
2025-03-11,0.50,7.1,1.10
2025-03-12,2.30,4.9,0.94
2025-03-13,1.60,4.4,1.24
2025-03-14,0.70,3.1,1.10
2025-03-15,0.20,3.8,1.46
2025-03-16,0.00,5.8,1.60
2025-03-17,0.00,5.8,2.17
2025-03-18,0.00,6.5,2.33
2025-03-19,0.00,10.2,2.45
2025-03-20,0.00,11.5,2.54
2025-03-21,2.10,13.5,2.48
2025-03-22,10.00,12.7,1.58
2025-03-23,1.10,9.9,1.52
2025-03-24,0.50,10.8,2.01
2025-03-25,0.00,10.4,1.76
2025-03-26,0.40,10.1,1.48
2025-03-27,0.00,8.8,2.46
2025-03-28,2.10,7.8,1.23
2025-03-29,1.50,8.9,2.59
2025-03-30,0.10,9.7,1.87
2025-03-31,0.00,9.1,2.56
2025-04-01,0.00,9.0,3.00
2025-04-02,0.00,10.9,3.30
2025-04-03,0.00,13.5,3.24
2025-04-04,0.10,15.6,3.59
2025-04-05,0.00,15.6,3.83
2025-04-06,0.00,12.7,3.71
2025-04-07,0.00,10.1,3.52
2025-04-08,0.00,11.2,3.38
2025-04-09,0.00,12.1,3.71
2025-04-10,0.00,10.8,3.32
2025-04-11,0.00,13.5,3.85
2025-04-12,3.00,14.2,3.21
2025-04-13,3.00,14.0,2.59
2025-04-14,0.00,13.3,2.87
2025-04-15,2.60,14.0,2.49
2025-04-16,0.00,10.9,2.45
2025-04-17,0.00,11.5,2.80
2025-04-18,0.00,12.3,3.77
2025-04-19,2.80,13.5,3.32
2025-04-20,5.20,12.9,2.49
2025-04-21,4.30,11.9,1.73
2025-04-22,0.40,12.1,2.68
2025-04-23,9.30,11.0,1.84
2025-04-24,1.10,12.1,2.56
2025-04-25,0.50,11.4,1.99
2025-04-26,0.20,13.3,3.45
2025-04-27,0.30,15.3,3.70
2025-04-28,0.00,16.7,4.52
2025-04-29,0.00,18.9,5.29
2025-04-30,0.00,21.1,5.32
2025-05-01,0.00,22.1,5.66
2025-05-02,0.00,22.5,5.17
2025-05-03,9.20,19.1,3.68
2025-05-04,1.20,12.4,3.18
2025-05-05,0.00,10.2,3.09
2025-05-06,0.20,11.1,3.35
2025-05-07,0.00,11.8,2.94
2025-05-08,0.10,13.2,3.81
2025-05-09,0.00,14.7,4.45
2025-05-10,0.00,17.0,5.16
2025-05-11,4.50,17.7,4.29
2025-05-12,1.70,15.7,3.13
2025-05-13,6.90,15.4,3.17
2025-05-14,0.10,17.9,4.63
2025-05-15,0.00,13.9,4.05
2025-05-16,0.00,14.3,4.83
2025-05-17,0.00,13.7,3.37
2025-05-18,0.00,14.7,4.41
2025-05-19,0.00,16.2,5.14
2025-05-20,0.00,19.1,5.80
2025-05-21,13.70,14.3,1.66
2025-05-22,1.40,13.3,3.85
2025-05-23,0.00,13.4,4.33
2025-05-24,0.40,14.2,2.45
2025-05-25,2.00,16.6,3.03
2025-05-26,0.00,14.5,3.09
2025-05-27,0.00,15.8,2.76
2025-05-28,3.20,16.7,3.16
2025-05-29,0.00,18.0,3.89
2025-05-30,0.00,22.1,5.51
2025-05-31,4.60,22.1,3.93
2025-06-01,8.50,19.0,4.08
2025-06-02,0.90,17.9,4.16
2025-06-03,0.00,18.9,5.70
2025-06-04,2.00,16.3,2.42
2025-06-05,7.50,15.6,2.09
2025-06-06,6.70,17.0,3.74
2025-06-07,3.40,16.1,3.33
2025-06-08,4.30,15.2,3.74
2025-06-09,0.00,16.3,4.29
2025-06-10,0.00,18.1,4.94
2025-06-11,0.00,20.8,5.77
2025-06-12,0.10,24.5,6.18
2025-06-13,6.80,26.2,5.86
2025-06-14,0.90,23.0,4.43
2025-06-15,0.10,19.3,3.49
2025-06-16,0.00,19.6,5.46
2025-06-17,0.00,22.8,5.48
2025-06-18,0.00,23.1,6.31
2025-06-19,0.00,24.8,6.96
2025-06-20,0.00,25.7,6.57
2025-06-21,0.00,27.7,6.71
2025-06-22,0.00,26.1,6.27
2025-06-23,0.00,21.6,4.54
2025-06-24,0.00,21.9,6.11
2025-06-25,2.30,25.8,5.71
2025-06-26,7.00,22.2,4.42
2025-06-27,1.40,23.2,3.98
2025-06-28,0.00,24.4,4.84
2025-06-29,0.00,24.7,5.83
2025-06-30,0.00,28.2,6.21
2025-07-01,0.00,31.9,7.13
2025-07-02,3.10,26.3,6.16
2025-07-03,0.00,21.2,6.16
2025-07-04,0.00,21.4,6.17
2025-07-05,0.00,21.5,5.85
2025-07-06,29.40,17.1,1.73
2025-07-07,22.80,16.1,2.19
2025-07-08,2.30,16.4,3.93
2025-07-09,0.00,17.9,4.78
2025-07-10,0.00,20.8,5.10
2025-07-11,0.00,23.7,6.27
2025-07-12,0.00,23.8,5.25
2025-07-13,0.10,25.2,6.14
2025-07-14,8.50,22.8,5.19
2025-07-15,1.20,20.8,4.59
2025-07-16,2.60,20.3,2.58
2025-07-17,0.40,21.2,3.75
2025-07-18,0.00,25.1,5.70
2025-07-19,1.80,23.9,4.84
2025-07-20,19.00,19.6,2.78
2025-07-21,15.00,18.1,2.85
2025-07-22,0.10,18.8,3.66
2025-07-23,11.10,18.0,2.69
2025-07-24,28.20,17.3,2.52
2025-07-25,1.30,19.6,4.29
2025-07-26,0.00,20.2,4.45
2025-07-27,7.80,18.2,2.98
2025-07-28,1.20,18.0,4.02
2025-07-29,1.00,17.9,3.39
2025-07-30,5.30,18.9,3.24
2025-07-31,0.60,19.6,3.87
2025-08-01,1.00,18.9,3.64
2025-08-02,0.20,17.1,3.52
2025-08-03,0.00,18.4,4.48
2025-08-04,0.00,22.0,3.52
2025-08-05,5.90,19.9,4.74
2025-08-06,0.00,18.0,4.32
2025-08-07,0.00,21.9,5.23
2025-08-08,0.00,22.2,4.75
2025-08-09,0.00,21.7,5.13
2025-08-10,0.00,20.9,5.16
2025-08-11,0.00,24.3,5.94
2025-08-12,0.00,27.4,6.26
2025-08-13,0.00,27.2,4.22
2025-08-14,0.00,25.9,5.20
2025-08-15,0.00,24.1,5.56
2025-08-16,0.00,23.3,5.21
2025-08-17,0.00,21.3,5.07
2025-08-18,0.00,22.2,5.06
2025-08-19,0.00,22.5,3.53
2025-08-20,4.30,19.6,1.95
2025-08-21,0.80,18.6,3.82
2025-08-22,0.00,16.9,3.41
2025-08-23,0.00,17.5,3.51
2025-08-24,0.00,18.4,4.15
2025-08-25,0.00,20.7,4.45
2025-08-26,0.00,22.6,4.60
2025-08-27,0.20,22.3,4.46
2025-08-28,0.60,19.9,3.65
2025-08-29,3.60,17.0,2.27
2025-08-30,0.20,17.5,2.76
2025-08-31,6.10,18.6,1.78
2025-09-01,4.10,16.7,2.75
2025-09-02,5.20,15.4,1.44
2025-09-03,0.70,19.4,2.89
2025-09-04,2.90,17.5,2.62
2025-09-05,0.90,16.5,2.71
2025-09-06,0.00,17.5,3.78
2025-09-07,0.00,21.2,3.97
2025-09-08,0.00,19.8,3.16
2025-09-09,0.00,17.5,3.08
2025-09-10,5.40,16.1,2.37
2025-09-11,4.10,15.7,2.55
2025-09-12,0.60,15.4,3.20
2025-09-13,10.60,15.0,1.85
2025-09-14,0.20,16.2,1.00
2025-09-15,1.00,18.0,3.27
2025-09-16,0.10,15.1,2.40
2025-09-17,0.00,16.5,2.49
2025-09-18,0.00,18.1,2.98
2025-09-19,0.00,20.6,3.79
2025-09-20,9.70,20.8,1.65
2025-09-21,0.90,15.5,1.93
2025-09-22,1.10,12.7,2.52
2025-09-23,7.30,11.6,1.44
2025-09-24,9.90,10.6,0.65
2025-09-25,1.40,10.6,0.76
2025-09-26,0.40,11.2,1.02
2025-09-27,0.30,11.9,1.48
2025-09-28,0.00,12.9,2.24
2025-09-29,0.00,13.9,2.09
2025-09-30,0.00,13.5,2.22
2025-10-01,0.00,13.1,2.09
2025-10-02,0.00,12.8,2.06
2025-10-03,3.70,13.1,0.90
2025-10-04,8.10,15.0,2.05
2025-10-05,0.00,12.4,2.26
2025-10-06,0.20,12.6,1.25
2025-10-07,0.00,13.2,1.83
2025-10-08,0.00,12.7,1.26
2025-10-09,0.10,14.5,1.57
2025-10-10,0.00,12.8,1.14
2025-10-11,0.00,13.7,1.74
2025-10-12,0.00,12.8,1.83
2025-10-13,0.10,12.8,1.10
2025-10-14,0.00,13.7,1.69
2025-10-15,0.20,12.7,1.23
2025-10-16,0.00,12.4,1.18
2025-10-17,0.00,12.3,1.57
2025-10-18,0.00,11.2,1.74
2025-10-19,2.50,11.6,0.77
2025-10-20,4.40,14.9,1.26
2025-10-21,0.90,14.1,1.36
2025-10-22,2.60,13.8,0.77
2025-10-23,4.60,12.3,1.32
2025-10-24,1.30,9.1,1.52
2025-10-25,3.40,10.6,1.22
2025-10-26,0.20,8.9,1.46
2025-10-27,3.40,11.8,1.43
2025-10-28,0.00,12.4,1.06
2025-10-29,9.40,12.0,0.80
2025-10-30,0.00,10.6,1.15
2025-10-31,0.00,11.6,1.10
2025-11-01,5.80,13.8,0.83
2025-11-02,1.20,11.1,1.07
2025-11-03,0.00,11.1,0.85
2025-11-04,0.00,12.1,1.19
2025-11-05,0.00,13.4,1.43
2025-11-06,4.10,13.0,0.42
2025-11-07,0.20,11.8,0.63
2025-11-08,0.60,10.9,0.31
2025-11-09,0.00,9.2,0.64
2025-11-10,1.50,9.3,0.62
2025-11-11,0.00,11.3,0.66
2025-11-12,0.00,11.5,1.05
2025-11-13,0.00,14.5,1.23
2025-11-14,2.10,15.5,1.12
2025-11-15,24.40,12.1,0.41
2025-11-16,0.10,9.8,0.41
2025-11-17,1.20,6.6,0.69
2025-11-18,0.00,3.7,0.67
2025-11-19,3.60,5.6,0.55
2025-11-20,0.50,2.5,0.56
2025-11-21,0.30,1.7,0.36
2025-11-22,0.00,-0.6,0.41
2025-11-23,16.70,3.2,0.18
2025-11-24,1.60,7.1,0.58
2025-11-25,0.80,5.9,0.60
2025-11-26,0.20,4.7,0.53
2025-11-27,0.00,5.1,0.31
2025-11-28,10.60,9.0,0.23
2025-11-29,5.50,9.5,0.29
2025-11-30,0.20,6.4,0.51
2025-12-01,0.00,4.6,0.57
2025-12-02,0.40,8.0,0.86
2025-12-03,0.00,7.8,0.43
2025-12-04,2.30,6.4,0.28
2025-12-05,1.50,3.7,0.45
2025-12-06,2.20,9.7,0.70
2025-12-07,9.20,12.4,0.39
2025-12-08,1.20,14.2,0.71
2025-12-09,0.30,11.8,0.90
2025-12-10,0.30,12.0,0.39
2025-12-11,0.20,7.6,0.22
2025-12-12,0.00,9.6,0.31
2025-12-13,0.00,8.2,0.22
2025-12-14,0.00,6.6,0.21
2025-12-15,0.00,7.5,0.47
2025-12-16,0.00,10.1,0.53
2025-12-17,0.00,8.4,0.46
2025-12-18,0.00,10.7,1.09
2025-12-19,5.70,10.5,0.41
2025-12-20,2.30,8.1,0.23
2025-12-21,15.80,9.5,0.24
2025-12-22,0.20,9.1,0.36
2025-12-23,0.00,5.1,0.30
2025-12-24,0.00,3.3,0.89
2025-12-25,0.10,-0.1,0.68
2025-12-26,0.00,-0.7,0.38
2025-12-27,0.00,-0.0,0.39
2025-12-28,0.00,0.1,0.26
2025-12-29,0.00,-0.8,0.43
2025-12-30,0.00,2.2,0.49
2025-12-31,0.00,-0.0,0.36
